epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2358,1.52404,5.20151,1.32331,0,0,0,0,1.69534,5.34047,1.40087,1.998e-05,1.998e-05,1.998e-05
2,73.6958,0.93007,5.11549,1.00461,0,0,0,0,0.67808,5.25264,0.97151,4.27543e-05,4.27543e-05,4.27543e-05
3,111.565,0.65318,4.90564,0.88059,0,0,0,0,0.40218,5.16267,0.84011,6.49517e-05,6.49517e-05,6.49517e-05
4,144.909,0.55405,4.5951,0.83522,0,0,0,0,0.38783,4.76264,0.79042,8.65721e-05,8.65721e-05,8.65721e-05
5,179.653,0.51705,4.40217,0.81958,0,0,0,0,0.38235,4.67749,0.77867,0.000107616,0.000107616,0.000107616
6,214.989,0.50921,4.16788,0.80931,0,0,0,0,0.39623,4.5763,0.77811,0.000128082,0.000128082,0.000128082
7,251.135,0.48283,3.87696,0.80935,0.06489,0.10304,0.07785,0.07275,0.38705,4.312,0.77835,0.000147972,0.000147972,0.000147972
8,286.863,0.45981,3.44976,0.8033,0.06542,0.26549,0.11843,0.11064,0.38536,4.09677,0.77962,0.000167285,0.000167285,0.000167285
9,322.797,0.4797,3.29884,0.80798,0.05085,0.51212,0.15548,0.1419,0.40969,3.68788,0.78064,0.00018602,0.00018602,0.00018602
10,359.036,0.46627,3.11902,0.79928,0.83793,0.11344,0.18769,0.1661,0.41063,3.49984,0.7789,0.000204179,0.000204179,0.000204179
11,394.885,0.46605,2.87009,0.80314,0.83184,0.15311,0.24898,0.23305,0.38337,3.28986,0.77577,0.000221761,0.000221761,0.000221761
12,430.496,0.43652,2.60806,0.79431,0.82434,0.22054,0.30027,0.27415,0.3774,3.033,0.77626,0.000238766,0.000238766,0.000238766
13,466.297,0.42968,2.41148,0.79377,0.79673,0.2362,0.31743,0.2928,0.37177,2.91506,0.77414,0.000255195,0.000255195,0.000255195
14,502.213,0.42006,2.24739,0.79291,0.86047,0.25742,0.37938,0.35412,0.35434,2.62918,0.77529,0.000271046,0.000271046,0.000271046
15,539.276,0.415,2.08979,0.80037,0.81914,0.29333,0.41889,0.39363,0.34142,2.33527,0.77764,0.000275308,0.000275308,0.000275308
16,576.751,0.39716,1.89397,0.80221,0.76457,0.2981,0.44007,0.41358,0.33548,2.20219,0.7776,0.000271187,0.000271187,0.000271187
17,613.809,0.4192,1.83573,0.79937,0.71221,0.30349,0.45396,0.42912,0.32153,2.15824,0.77801,0.000267066,0.000267066,0.000267066
18,650.364,0.40062,1.66814,0.79767,0.60492,0.33382,0.48558,0.46132,0.37179,1.99622,0.78001,0.000262945,0.000262945,0.000262945
19,686.21,0.40909,1.51505,0.79703,0.67122,0.51514,0.57136,0.54855,0.31725,1.64676,0.77344,0.000258824,0.000258824,0.000258824
20,722.591,0.40959,1.57074,0.79414,0.71318,0.54126,0.61192,0.58246,0.34615,1.44944,0.77243,0.000254703,0.000254703,0.000254703
21,759.506,0.35887,1.36265,0.78959,0.74349,0.54063,0.6082,0.5823,0.3099,1.42874,0.76966,0.000250583,0.000250583,0.000250583
22,799.992,0.34762,1.28694,0.78293,0.6666,0.58894,0.62469,0.59827,0.29145,1.35927,0.76852,0.000246462,0.000246462,0.000246462
23,840.436,0.37359,1.23332,0.80776,0.69239,0.64027,0.64165,0.61867,0.30578,1.21225,0.76974,0.000242341,0.000242341,0.000242341
24,879.782,0.35898,1.18499,0.79793,0.70064,0.69458,0.67754,0.64928,0.29763,1.07498,0.76713,0.00023822,0.00023822,0.00023822
25,918.183,0.33334,1.10163,0.79224,0.69394,0.69743,0.68582,0.65221,0.29765,1.02081,0.76627,0.000234099,0.000234099,0.000234099
